품목조회(Biofdnc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
품목상태,등록일,등록자,최종수정일,최종수정자,관리부서,품목대분류,품목중분류,품목소분류,Lot 관리,품목자산분류,품번,품명,규격,영문명,품목설명,기준단위,품목세부분류,검색어(이명(異名)),사양,품목특이사항,CAS NO,MOQ,포장단위,Manufacturer,Country of Manufacture,Source of Origin(Method),Plant Part,Country of Origin,중국원료신고번호(NMPA),알러젠성분,Furocoumarines,효능,특허,논문,임상,사용기한,보관위치,보관방법1,안정성 및 유의사항1,Note on storage1,Safety & Handling1,NOTICE (COA3 영문)1,NOTICE (COA3 국문)1,NOTICE (Composition 국문)1,NOTICE (Composition 영문)1,CAUTION (Origin)1,유기농 인증,KOSHER 인증,HALAL 인증,VEGAN 인증,ISAAA 인증,RSPO 인증,REACH 인증,Expiration Date,보관방법2,안정성 및 유의사항2,Note on storage2,Safety & Handling2,NOTICE (COA3 영문)2,NOTICE (COA3 국문)2,NOTICE (Composition 국문)2,NOTICE (Composition 영문)2,CAUTION (Origin)2
사용,2025-03-21,조애랑,2025-03-21,조애랑,인천)기획마케팅팀,[화순] 바이오화장품부(Cosmetic),[완제품] (Product),[자체브랜드] 완제품,0,제품,BF-C-P-B-00062,모스레시피 6종 세트,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-05-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),1,제품,CBA00001,CELL Talks First Ampoule,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-07-07,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),1,제품,CBA00002,CELL Talks PS-3 Ampoule,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-05-03,유지보수,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),1,제품,CBA00003,CELL Talks PS-4 Ampoule,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-09-20,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00004,BAR-Z TIME DROP BODY EX,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2024-09-11,김재영,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00005,Dr. A'Gen GF Ampoule(1ml),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00006,QTCell HOME SS Serum Solution,,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00007,한국비엔씨아이스트아이톡스더블케어앰플(1제),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-08-30,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00008,한국비엔씨아이스트아이톡스더블케어앰플(2제),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사용,2023-03-29,이충환,2023-07-07,이충환,인천)제형제조팀(제),[인천]PCX-제형제조팀(C),[제형제조팀]완제품(B),[제형제조팀완제품]앰플류(A),0,제품,CBA00009,메디코이바이오액티브바이탈샷앰플(7개입),,,,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
